month,monthly_actual_aqi,monthly_predicted_aqi,accuracy
2020-11,252.87524822304528,264.09778,95.562029033633
2020-12,271.66630134168804,255.1934,93.93634907643474
2021-01,266.96963349360647,256.86066,96.21343572936084
2021-02,248.65624258710537,261.49072,94.83846456633854
2021-03,246.51252414417527,251.73227,97.88256391392055
2021-04,244.26078277696084,246.89706,98.92071031540468
2021-05,251.83821541924038,244.87025,97.23315983198216
2021-06,241.57659587159648,249.5354,96.70547368617662
2021-07,184.91827674245192,232.88231,74.06203807300685
2021-08,189.8249469421575,261.28912,62.352589717949485
2021-09,120.11468411332635,254.97041,-12.272475334861781
2021-10,169.4383467015036,237.5165,59.8212864001766
2021-11,272.35301091024235,250.83008,92.09741331174946
2021-12,221.29452403836453,253.38815,85.49732345286435
2022-01,194.8756219232932,258.08496,67.56426566320994
2022-02,181.3788649948533,255.93726,58.89356190059006
2022-03,199.73698559970777,257.8144,70.92305848325522
2022-04,218.96529417188836,247.1965,87.10699400084064
2022-05,229.80164753408042,245.88538,93.00103867179769
2022-06,194.37006145075023,251.69879,70.50537020708714
2022-07,133.30096999108778,249.72966,12.657282200665094
2022-08,127.83231302565419,255.21419,0.3523666423431422
2022-09,214.4916816458533,243.8799,86.29866846120467
2022-10,271.4758213777806,241.34496,88.90108674115949
2022-11,263.539243498466,239.9722,91.05748172481375
2022-12,294.3564403906737,253.57404,86.14523103621735
2023-01,299.05595938115425,257.5763,86.12979807468913
